Island,ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,BedStrike,BedDip,Lat,Long,Plat,Plong,Lambda,Ref,DOI,Comments,
HONSHU NE,NH-NE-14-4,NE Central Jap,Katanashi. SW + Osawa,Welded Tuff,15.5,12,FT,Magnetite + Hematite,Y,Fold-test,,,85,8,10.7,52.7,8.62,14.8,9.5,10.53814182,Individual,,36.8,139.3,81.2,234.9,33.27864509,"Otofuji et al., 1997",10.1016/S0040-1951(97)00065-6,Averaged in April 2020,
HONSHU NE,HN-NE-16-1,Southern Uetsu,Oguni,WT,16,16,N/S,Magnetite,Y,Bed-tilt (McFadden),,,10,,2.7,40.7,6,67,5.418420746,66.75912265,245,16,38.3,139.83,74.8,310.33,23.27098548,"Yamaji et al., 1999",10.1186/BF03352213,,
HONSHU NE,HN-NE-16-2,Southern Uetsu,Tsugawa,Tuffaceous Siltstone,16,16,N/S,Magnetite,Y,Bed-tilt (McFadden),,,9,,3.6,67.7,5.7,84,7.8420438,35.41237338,140,16,38.3,139.83,77.4,150.35,50.63934858,"Yamaji et al., 1999",10.1186/BF03352213,,
HONSHU NE,HN-NE-16-3,Tochigi Prefecture,Motegi Formation,Dac dome/Bas+And,16.1,15.7,K-Ar,Magnetite,Y,Reversal (lack thereof),,,106,21,8,59.5,5.8,30.6,7.3,17.34153599,In situ/individual,,36.6,140.2,82,186.3,40.32564815,"Hoshi and Takahasi, 2013",10.5575/geosoc.103.523,Averaged in April 2020,
HONSHU NE,HN-NE-16-4,Ou Backbone Range,Oishi Fm,Mudstone,16.4,15.1,FT,Ti-Magnetite,Y,Fold-test,,,51,12,325.9,66.7,10.5,61.8,3.771602249,27.0168134,Individual,,39.3,140.8,82.02,233.69,49.26049267,"Hosoi et al., 2015",10.1111/iar.12109,,
HONSHU NE,HN-NE-16-5,Abukuma mountains,Ryozen fm,Bas lava, Fluv dep,16.7,16,Stratigraphy,Magnetite,Y,Cong Test (positive),,,57,10,349.8,65,4.2,65,9.8,30.23047827,,,36,140.73,88.9,333.6,46.99692847,"Takahashi et al., 1999",10.1016/S0040-1951(99)00044-X,Averaged in April 2020
HONSHU NE,HN-NE-17-1,Abukuma Terrane,Ryozen,Basalt,17.34,15.7,K-Ar,Magnetite,Y,,,,136,8,333.5,28,9.6,34.2,10.6,43.93448954,,,38,140.667,61.8,73.5,14.8879756,"Baba et al., 2007",10.1111/j.1365-246X.2007.03513.x,,
HONSHU NE,HN-NE-17-2,Tochigi Prefecture,Motegi,Andesite and basalt,17.6,15.8,FT,(Ti-) Magnetite,Y,Reversal test,,,66,11,8.4,55.8,9.3,24.9,4.6,17.9,Individual,,36.6,140.2,83.24,229.88,36.34294562,"Hoshi and Takahashi, 1997",10.5575/geosoc.103.523,"Calculated in April, 2020",
HONSHU NE,HN-NE-17-3,Ninohe area,Nisatai,Dacite,17.7,17.1,K-Ar/ FT,Magnetite and Hematite,Y,Conglomerate test,,,36,8,294.5,44.2,8.3,45.3,8.4,41.31854216,Individual,,40.2,141.3,34.7,58.8,25.93035334,"Hoshi and Matsubara, 1998",10.1186/BF03352083,,
HONSHU NE,HN-NE-17-4,Oshima Peninsula,Masukawa Fm,Rhyolite WT,19.3,15.1,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,13,,347.3,50.3,5.9,51.3,6.189649736,39.35324704,,,42.58,140.116,74.67,365.54,31.05857565,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,,
