Moving plate,Fixed plate,Moving plate ID,Age (GTS2020),Latitude,Longitude,Angle,Fixed Plate ID,Abbreviation,Chron according to time scale used in paper,Reference,Chron in paper,Age in paper,Comments,,,,,
Patagonia,South Africa,291,150,47.5,-33.3,58.0,701,!PAT-SAM,,Torsvik et al. (2008b),,150,,,,,,
Patagonia,South Africa,291,160,47.5,-33.3,58.0,701,!PAT-SAM,,Torsvik et al. (2008b),,160,,,,,,
Patagonia,South Africa,291,190,47.5,-33.3,63.0,701,!PAT-SAM,,Torsvik et al. (2008b),,190,Motion relative to Colorado block accommodated by Gastre fault system,,,,,
Patagonia,South Africa,291,330,47.5,-33.3,63.0,701,!PAT-SAM,,,,,,,,,,
Eurasia,North America ,301,0,0,0,0,101,!EUR-NAM,,,,,,,,,,
Eurasia,North America ,301,0.773,62.51,138.27,-0.16,101,!EUR-NAM,C1n o,DeMets et al. (2015),1n,0.78,,,,,,
Eurasia,North America ,301,1.775,62.69,138.05,-0.37,101,!EUR-NAM,C2n y,DeMets et al. (2015),2n,1.78,,,,,,
Eurasia,North America ,301,2.595,62.87,137.87,-0.54,101,!EUR-NAM,C2An.1n y,DeMets et al. (2015),2An.1,2.58,,,,,,
Eurasia,North America ,301,3.596,63.13,137.63,-0.76,101,!EUR-NAM,C2An.3n o,DeMets et al. (2015),2An.3,3.6,,,,,,
Eurasia,North America ,301,4.187,63.31,137.47,-0.88,101,!EUR-NAM,C3n.1n y,DeMets et al. (2015),3n.1,4.19,,,,,,
Eurasia,North America ,301,5.235,63.65,137.18,-1.10,101,!EUR-NAM,C3n.4n o,DeMets et al. (2015),3n.4,5.24,,,,,,
Eurasia,North America ,301,6.023,63.65,136.96,-1.27,101,!EUR-NAM,C3An.1n y,DeMets et al. (2015),3An.1,6.03,,,,,,
Eurasia,North America ,301,6.727,64.22,136.76,-1.43,101,!EUR-NAM,C3An.2n o,DeMets et al. (2015),3An.2,6.73,,,,,,
Eurasia,North America ,301,7.537,64.54,136.55,-1.63,101,!EUR-NAM,C4n.1n y,DeMets et al. (2015),4n.1,7.53,,,,,,
Eurasia,North America ,301,8.125,64.78,136.38,-1.78,101,!EUR-NAM,C4n.2n o,DeMets et al. (2015),4n.2,8.11,,,,,,
Eurasia,North America ,301,9.105,65.21,136.06,-2.05,101,!EUR-NAM,C4An o,DeMets et al. (2015),4A,9.11,,,,,,
Eurasia,North America ,301,9.786,65.53,135.84,-2.25,101,!EUR-NAM,C5n.1n y,DeMets et al. (2015),5n.1,9.79,,,,,,
Eurasia,North America ,301,11.056,66.08,135.46,-2.60,101,!EUR-NAM,C5n.2n o,DeMets et al. (2015),5n.2,11.06,,,,,,
Eurasia,North America ,301,12.474,66.55,135.14,-2.98,101,!EUR-NAM,C5An.2n o,DeMets et al. (2015),5AN.2,12.47,,,,,,
Eurasia,North America ,301,13.739,66.94,134.85,-3.31,101,!EUR-NAM,C5ACn y,DeMets et al. (2015),5AC,13.74,,,,,,
Eurasia,North America ,301,14.613,67.31,134.58,-3.57,101,!EUR-NAM,C5ADn o,DeMets et al. (2015),5AD,14.61,,,,,,
Eurasia,North America ,301,15.974,67.91,134.13,-3.98,101,!EUR-NAM,C5Cn.1n y,DeMets et al. (2015),5Cn.1,15.97,,,,,,
Eurasia,North America ,301,17.235,68.44,133.70,-4.36,101,!EUR-NAM,C5Dn y,DeMets et al. (2015),5D,17.23,,,,,,
Eurasia,North America ,301,18.007,68.78,133.42,-4.60,101,!EUR-NAM,C5En y,DeMets et al. (2015),5E,18.06,,,,,,
Eurasia,North America ,301,18.636,69.06,133.18,-4.81,101,!EUR-NAM,C6n y,DeMets et al. (2015),6ny,18.75,,,,,,
Eurasia,North America ,301,19.535,69.45,132.87,-5.09,101,!EUR-NAM,C6n o,DeMets et al. (2015),6no,19.72,,,,,,
Eurasia,North America ,301,33.47,68.20,131.64,-7.600,101,!EUR-NAM,C13n m,Vissers and Meijer (2012b),C13n m,33.301,,,,,,
Eurasia,North America ,301,39.24,67.33,130.07,-9.195,101,!EUR-NAM,C18n m,Vissers and Meijer (2012b),C18n m,39.278,Age is mean of C18n.1ny and C18n.2no,,,,,
Eurasia,North America ,301,47.00,66.15,135.40,-10.870,101,!EUR-NAM,C21n m,Srivastava and Roest (1996); preferred Euler pole of Vissers and Meijer (2012b),C21n m,47.085,,,,,,
Eurasia,North America ,301,53.58,63.89,139.27,-12.890,101,!EUR-NAM,C24n.3n m,Srivastava and Roest (1996); preferred Euler pole of Vissers and Meijer (2012b),C24n.3n m,53.125,,,,,,
Eurasia,North America ,301,57.38,58.93,139.88,-14.001,101,!EUR-NAM,C25n m,Vissers and Meijer (2012b),C25 n m,56.147,,,,,,
Eurasia,North America ,301,67.28,58.37,145.00,-16.186,101,!EUR-NAM,C30n m,Vissers and Meijer (2012b),C30n m,67.157,,,,,,
Eurasia,North America ,301,79.90,66.47,145.72,-19.077,101,!EUR-NAM,C33n o,Vissers and Meijer (2012b),C33n o,79.075,,,,,,
Eurasia,North America ,301,83.65,66.54,148.91,-19.70,101,!EUR-NAM,C34n y,Srivastava and Roest (1989); preferred Euler pole of Vissers and Meijer (2012b),C34n y,83,,,,,,
Eurasia,North America ,301,121.40,68.54,151.25,-22.912,101,!EUR-NAM,M0r o,Vissers and Meijer (2012a),M0r m,121.2,,,,,,
Eurasia,North America ,301,126.51,68.83,151.75,-23.176,101,!EUR-NAM,M3r o,Vissers and Meijer (2012a),M3r m,125.63,Interpolated,,,,,
Eurasia,North America ,301,153.44,68.99,154.75,-23.20,101,!EUR-NAM,M25r o,Vissers and Meijer (2012a),M25r m,155,Pole is different from preferred one; seems to be an interpolated pole that is identical to the 155 Ma pole in Torsvik et al. (2012); this pole is used in van Hinsbergen et al. (2020),,,,,
Eurasia,North America ,301,190,68.99,154.75,-23.64,101,!EUR-NAM,,Torsvik et al. (2008a),,200,,,,,,
Eurasia,North America ,301,220,78.64,161.9,-31.0,101,!EUR-NAM,,Alvey (2009); fit in Pangea as in Torsvik et al. (2012),,220,,,,,,
Eurasia,North America ,301,330,78.64,161.9,-31.0,101,!EUR-NAM,,,,,,,,,,
Iberia,Europe,304,0,0,0,0,301,!SPN-EUR,,,,,,,,,,
Iberia,Europe,304,19.09,0.00,0.00,0,301,!SPN-EUR,C6n m,Vissers and Meijer (2012b),C6,19.589,,,,,,
Iberia,Europe,304,33.47,-31.77,161.02,1.302,301,!SPN-EUR,C13n m,Vissers and Meijer (2012b),C13 ,33.301,,,,,,
Iberia,Europe,304,39.24,-14.10,140.10,1.16,301,!SPN-EUR,C18n m,Vissers and Meijer (2012b),C18 ,39.278,Age is mean of C18n.1ny and C18n.2no,,,,,
Iberia,Europe,304,47.00,-30.59,158.88,2.81,301,!SPN-EUR,C21n m,Vissers and Meijer (2012b),C21 ,47.085,,,,,,
Iberia,Europe,304,53.58,-29.15,160.91,3.591,301,!SPN-EUR,C24n.3n m,Vissers and Meijer (2012b),C24 ,53.125,,,,,,
Iberia,Europe,304,57.38,-28.68,159.71,3.941,301,!SPN-EUR,C25n m,Vissers and Meijer (2012b),C25  ,56.147,,,,,,
Iberia,Europe,304,67.28,-35.27,165.43,6.061,301,!SPN-EUR,C30n m,Vissers and Meijer (2012b),C30 ,67.157,,,,,,
Iberia,Europe,304,79.90,-37.67,166.88,7.597,301,!SPN-EUR,C33n o,Vissers and Meijer (2012a),C33 ,79.075,,,,,,
Iberia,Europe,304,83.65,-39.36,170.34,9.800,301,!SPN-EUR,C34n y,Vissers and Meijer (2012a),C34 ,83,,,,,,
Iberia,Europe,304,118.00,-40.53,170.81,12.283,301,!SPN-EUR,,Vissers and Meijer (2012a),,112,,,,,,
Iberia,Europe,304,121.40,-43.79,173.32,45.248,301,!SPN-EUR,M0r o,Vissers and Meijer (2012a),M0,121.2,,,,,,
